insert_time,delete_time
0.003596,0.003625
0.004111,0.004380
0.003646,0.003643
0.003555,0.003666
0.003585,0.003716
0.003564,0.003634
0.003595,0.003752
0.003517,0.003838
0.003999,0.003748
0.004022,0.004004
0.003871,0.003634
0.004190,0.003897
0.003738,0.003884
0.003624,0.003735
0.003724,0.003711
0.004065,0.003830
0.003566,0.003766
0.003660,0.006789
0.003682,0.003674
0.003819,0.003790
0.003684,0.003882
0.003652,0.003759
0.003883,0.003722
0.003936,0.003779
0.003687,0.003798
0.003693,0.003749
0.003900,0.003756
0.003774,0.003773
0.003715,0.003825
0.003682,0.003939
0.003796,0.003890
0.003739,0.003808
0.003713,0.003853
0.003748,0.003788
0.003765,0.003791
0.003837,0.004225
0.003820,0.003925
0.003793,0.003823
0.003699,0.004006
0.003877,0.003998
0.003976,0.003978
0.004271,0.003979
0.003869,0.003861
0.004185,0.004026
0.003988,0.004621
0.003937,0.004200
0.004357,0.003889
0.003872,0.004070
0.003910,0.004022
0.003950,0.003905
0.004161,0.004097
0.004280,0.004610
0.004406,0.004264
0.004290,0.004062
0.003975,0.003953
0.004200,0.005702
0.003912,0.003922
0.004255,0.004247
0.003918,0.004313
0.004416,0.004883
0.004478,0.004718
0.004191,0.004060
0.003913,0.003973
0.006247,0.004303
0.003956,0.004013
0.003977,0.004000
0.004119,0.004017
0.004431,0.004539
0.003931,0.004075
0.004374,0.004003
0.004099,0.004616
0.003937,0.004164
0.004449,0.004888
0.004069,0.004051
0.004487,0.005079
0.004072,0.004032
0.004148,0.004015
0.004285,0.004192
0.004124,0.004176
0.004271,0.004124
0.004028,0.004122
0.004582,0.004072
0.004380,0.004189
0.004285,0.004195
0.004109,0.004067
0.004050,0.004088
0.003997,0.004255
0.004730,0.004425
0.004658,0.004241
0.004137,0.004187
0.003988,0.004192
0.004029,0.004222
0.004160,0.004172
0.004284,0.004270
0.004316,0.004275
0.004223,0.004459
0.004427,0.004398
0.004176,0.004191
0.004590,0.004346
0.004359,0.004530
0.004156,0.004184
0.004657,0.004492
0.004168,0.004263
0.004106,0.004224
0.004698,0.004393
0.004148,0.004596
0.004366,0.004275
0.004251,0.004342
0.004798,0.004729
0.004269,0.004317
0.004299,0.004277
0.004813,0.004986
0.004725,0.004376
0.004207,0.004282
0.004224,0.004343
0.004171,0.004390
0.004570,0.004299
0.004946,0.005274
0.004278,0.004349
0.004346,0.004549
0.004550,0.004460
0.004221,0.004436
0.004209,0.004458
0.004524,0.004606
0.004607,0.005244
0.004533,0.004512
0.004342,0.004591
0.004376,0.004529
0.004224,0.004388
0.004623,0.004532
0.004289,0.004501
0.004757,0.004362
0.004988,0.004699
0.004723,0.004520
0.004487,0.004599
0.004963,0.004440
0.005129,0.004858
0.004370,0.004638
0.004947,0.004584
0.004439,0.004455
0.004389,0.004438
0.005086,0.004798
0.004387,0.004527
0.004384,0.004491
0.004445,0.004606
0.007443,0.004637
0.004354,0.004531
0.004741,0.004519
0.004398,0.004529
0.004470,0.004764
