insert_time,delete_time
0.004385,0.000017
0.004769,0.000044
0.004312,0.000017
0.004242,0.000017
0.006590,0.000020
0.004330,0.000017
0.004680,0.000016
0.004385,0.000017
0.004294,0.000017
0.004465,0.000036
0.004392,0.000017
0.004359,0.000017
0.004434,0.000017
0.004824,0.000017
0.004905,0.000017
0.004777,0.000017
0.005147,0.000017
0.004487,0.000018
0.005005,0.000017
0.004514,0.000017
0.004526,0.000017
0.004409,0.000017
0.004462,0.000017
0.004445,0.000017
0.004486,0.000017
0.004918,0.000039
0.004543,0.000017
0.004463,0.000017
0.004590,0.000017
0.004998,0.000017
0.004687,0.000017
0.004537,0.000018
0.004616,0.000017
0.005283,0.000017
0.004762,0.000018
0.004479,0.000017
0.005166,0.000021
0.005666,0.000018
0.004555,0.000017
0.004610,0.000017
0.004794,0.000018
0.004600,0.000018
0.004713,0.000017
0.004583,0.000018
0.004816,0.000017
0.004718,0.000018
0.004734,0.000017
0.004652,0.000017
0.004926,0.000018
0.004618,0.000018
0.004653,0.000017
0.004723,0.000018
0.004700,0.000018
0.005407,0.000029
0.004672,0.000018
0.004835,0.000017
0.004719,0.000017
0.004698,0.000018
0.004736,0.000018
0.005516,0.000018
0.004802,0.000017
0.005287,0.000018
0.004990,0.000023
0.004700,0.000017
0.005087,0.000045
0.004889,0.000019
0.005165,0.000020
0.006707,0.000045
0.004841,0.000018
0.004706,0.000027
0.004805,0.000018
0.005108,0.000019
0.004902,0.000018
0.004944,0.000018
0.004944,0.000018
0.006063,0.000062
0.004931,0.000018
0.006079,0.000047
0.004839,0.000019
0.004981,0.000018
0.005209,0.000018
0.005179,0.000018
0.005148,0.000018
0.005135,0.000018
0.005508,0.000027
0.004954,0.000018
0.005296,0.000019
0.005071,0.000018
0.004802,0.000018
0.005294,0.000043
0.004883,0.000018
0.005159,0.000019
0.004992,0.000018
0.004951,0.000018
0.005211,0.000018
0.005061,0.000018
0.004869,0.000018
0.004964,0.000019
0.005859,0.000018
0.005130,0.000017
0.004987,0.000020
0.005554,0.000018
0.005267,0.000019
0.005122,0.000018
0.005816,0.000018
0.005155,0.000018
0.005309,0.000019
0.005031,0.000018
0.005460,0.000018
0.005536,0.000018
0.005787,0.000018
0.005016,0.000018
0.005099,0.000018
0.005790,0.000027
0.005198,0.000018
0.005105,0.000018
0.005542,0.000018
0.005112,0.000018
0.005129,0.000018
0.005545,0.000019
0.005085,0.000018
0.005077,0.000019
0.005067,0.000019
0.005022,0.000018
0.005052,0.000019
0.005647,0.000018
0.005571,0.000018
0.016122,0.000044
0.005118,0.000018
0.005186,0.000019
0.005318,0.000019
0.005178,0.000018
0.005243,0.000018
0.005205,0.000018
0.005366,0.000019
0.006097,0.000019
0.005366,0.000018
0.005178,0.000018
0.005257,0.000018
0.005288,0.000018
0.005531,0.000018
0.005885,0.000019
0.005601,0.000021
0.005516,0.000018
0.005251,0.000018
0.007324,0.000019
0.005203,0.000019
0.005298,0.000018
0.006239,0.000037
0.005295,0.000018
0.005473,0.000018
0.005545,0.000019
0.005547,0.000018
0.005271,0.000019
0.005559,0.000018
0.005267,0.000018
0.005363,0.000019
0.005330,0.000018
0.006208,0.000018
0.006002,0.000019
0.005568,0.000019
0.005373,0.000018
0.005967,0.000019
0.005349,0.000019
0.005434,0.000020
0.005521,0.000019
0.005475,0.000033
0.005617,0.000019
0.005510,0.000019
0.005401,0.000019
0.012180,0.000049
0.006387,0.000019
0.005564,0.000019
0.005406,0.000019
0.005424,0.000019
0.005529,0.000019
0.006304,0.000019
0.005567,0.000019
0.005557,0.000019
0.005568,0.000019
0.005542,0.000019
0.005525,0.000019
0.005525,0.000018
